filename;scenario;type;n;instance;dp_obj;dp_time;gurobi_obj;gurobi_time;obj_match
kpdwfs_sc1_id8_n500_b775_sets83_k320_correlated.txt;1;C;500;8;2268,00;1,8807;2268,00;0,0932;True
kpdwfs_sc1_id8_n700_b1085_sets88_k320_correlated.txt;1;C;700;8;2878,00;4,6764;2878,00;0,0767;True
kpdwfs_sc1_id8_n800_b1240_sets81_k288_correlated.txt;1;C;800;8;3059,00;5,6510;3059,00;0,0794;True
kpdwfs_sc1_id9_n1000_b1550_sets85_k288_correlated.txt;1;C;1000;9;3598,00;13,5202;3598,00;0,1290;True
kpdwfs_sc1_id9_n300_b465_sets74_k320_correlated.txt;1;C;300;9;1285,00;0,3848;1285,00;0,0333;True
kpdwfs_sc1_id9_n500_b775_sets82_k320_correlated.txt;1;C;500;9;2108,00;2,1253;2108,00;0,0685;True
kpdwfs_sc1_id9_n700_b1085_sets90_k320_correlated.txt;1;C;700;9;2928,00;5,1900;2928,00;0,0594;True
kpdwfs_sc1_id9_n800_b1240_sets96_k288_correlated.txt;1;C;800;9;3337,00;6,0624;3337,00;0,0642;True
kpdwfs_sc1_id10_n1000_b1550_sets96_k288_fully-correlated.txt;1;FC;1000;10;3688,00;19,1401;3688,00;0,0892;True
kpdwfs_sc1_id10_n300_b465_sets73_k320_fully-correlated.txt;1;FC;300;10;1291,00;0,4487;1291,00;0,2180;True
kpdwfs_sc1_id10_n500_b775_sets79_k320_fully-correlated.txt;1;FC;500;10;2111,00;2,3344;2111,00;0,0380;True
kpdwfs_sc1_id10_n700_b1085_sets82_k320_fully-correlated.txt;1;FC;700;10;2911,00;5,2061;2911,00;0,0627;True
kpdwfs_sc1_id10_n800_b1240_sets93_k288_fully-correlated.txt;1;FC;800;10;3219,00;6,0715;3219,00;0,0825;True
kpdwfs_sc1_id1_n1000_b1550_sets88_k288_fully-correlated.txt;1;FC;1000;1;3590,00;19,7192;3590,00;0,0640;True
kpdwfs_sc1_id1_n300_b465_sets78_k320_fully-correlated.txt;1;FC;300;1;1257,00;0,4622;1257,00;0,0285;True
kpdwfs_sc1_id1_n500_b775_sets87_k320_fully-correlated.txt;1;FC;500;1;2218,00;2,6115;2218,00;0,2949;True
kpdwfs_sc1_id1_n700_b1085_sets92_k320_fully-correlated.txt;1;FC;700;1;3029,00;5,1153;3029,00;0,0821;True
kpdwfs_sc1_id1_n800_b1240_sets94_k288_fully-correlated.txt;1;FC;800;1;3237,00;6,0366;3237,00;0,1092;True
kpdwfs_sc1_id2_n1000_b1550_sets85_k288_fully-correlated.txt;1;FC;1000;2;3525,00;17,0596;3525,00;0,0667;True
kpdwfs_sc1_id2_n300_b465_sets75_k320_fully-correlated.txt;1;FC;300;2;1359,00;0,4314;1359,00;0,0191;True
kpdwfs_sc1_id2_n500_b775_sets85_k320_fully-correlated.txt;1;FC;500;2;2269,00;1,9715;2269,00;0,0540;True
kpdwfs_sc1_id2_n700_b1085_sets84_k320_fully-correlated.txt;1;FC;700;2;2859,00;5,9647;2859,00;0,0574;True
kpdwfs_sc1_id2_n800_b1240_sets81_k288_fully-correlated.txt;1;FC;800;2;3083,00;6,6259;3083,00;0,0852;True
kpdwfs_sc1_id3_n1000_b1550_sets91_k288_fully-correlated.txt;1;FC;1000;3;3798,00;19,8803;3798,00;0,0886;True
kpdwfs_sc1_id3_n300_b465_sets78_k320_fully-correlated.txt;1;FC;300;3;1308,00;0,5238;1308,00;0,0665;True
kpdwfs_sc1_id3_n500_b775_sets88_k320_fully-correlated.txt;1;FC;500;3;2110,00;2,3557;2110,00;0,0748;True
kpdwfs_sc1_id3_n700_b1085_sets87_k320_fully-correlated.txt;1;FC;700;3;2857,00;6,0719;2857,00;0,1069;True
kpdwfs_sc1_id3_n800_b1240_sets93_k288_fully-correlated.txt;1;FC;800;3;3280,00;6,2163;3280,00;0,0647;True
kpdwfs_sc1_id4_n1000_b1550_sets113_k288_fully-correlated.txt;1;FC;1000;4;4071,00;19,9605;4071,00;0,1268;True
kpdwfs_sc1_id4_n300_b465_sets75_k320_fully-correlated.txt;1;FC;300;4;1295,00;0,4654;1295,00;0,0363;True
kpdwfs_sc1_id4_n500_b775_sets93_k320_fully-correlated.txt;1;FC;500;4;2145,00;2,0644;2145,00;0,0535;True
kpdwfs_sc1_id4_n700_b1085_sets83_k320_fully-correlated.txt;1;FC;700;4;2896,00;5,6045;2896,00;0,0793;True
kpdwfs_sc1_id4_n800_b1240_sets85_k288_fully-correlated.txt;1;FC;800;4;3149,00;5,9999;3149,00;0,1017;True
kpdwfs_sc1_id5_n1000_b1550_sets99_k288_fully-correlated.txt;1;FC;1000;5;3691,00;14,3084;3691,00;0,0912;True
kpdwfs_sc1_id5_n300_b465_sets78_k320_fully-correlated.txt;1;FC;300;5;1313,00;0,3947;1313,00;0,0396;True
kpdwfs_sc1_id5_n500_b775_sets79_k320_fully-correlated.txt;1;FC;500;5;2211,00;2,2067;2211,00;0,0550;True
kpdwfs_sc1_id5_n700_b1085_sets92_k320_fully-correlated.txt;1;FC;700;5;3000,00;5,4605;3000,00;0,1004;True
kpdwfs_sc1_id5_n800_b1240_sets86_k288_fully-correlated.txt;1;FC;800;5;3116,00;6,8223;3116,00;0,1070;True
kpdwfs_sc1_id6_n1000_b1550_sets95_k288_fully-correlated.txt;1;FC;1000;6;3644,00;17,9642;3644,00;0,0800;True
kpdwfs_sc1_id6_n300_b465_sets75_k320_fully-correlated.txt;1;FC;300;6;1375,00;0,4755;1375,00;0,0142;True
kpdwfs_sc1_id6_n500_b775_sets81_k320_fully-correlated.txt;1;FC;500;6;2218,00;2,1806;2218,00;0,1027;True
kpdwfs_sc1_id6_n700_b1085_sets89_k320_fully-correlated.txt;1;FC;700;6;2832,00;5,6543;2832,00;0,0571;True
kpdwfs_sc1_id6_n800_b1240_sets94_k288_fully-correlated.txt;1;FC;800;6;3183,00;6,0924;3183,00;0,0766;True
kpdwfs_sc1_id7_n1000_b1550_sets96_k288_fully-correlated.txt;1;FC;1000;7;3721,00;15,6836;3721,00;0,0792;True
kpdwfs_sc1_id7_n300_b465_sets78_k320_fully-correlated.txt;1;FC;300;7;1405,00;0,3904;1405,00;0,0180;True
kpdwfs_sc1_id7_n500_b775_sets93_k320_fully-correlated.txt;1;FC;500;7;2092,00;1,8711;2092,00;0,0427;True
kpdwfs_sc1_id7_n700_b1085_sets97_k320_fully-correlated.txt;1;FC;700;7;3011,00;4,4056;3011,00;0,0640;True
kpdwfs_sc1_id7_n800_b1240_sets86_k288_fully-correlated.txt;1;FC;800;7;3109,00;5,8343;3109,00;0,0855;True
kpdwfs_sc1_id8_n1000_b1550_sets94_k288_fully-correlated.txt;1;FC;1000;8;3709,00;17,4764;3709,00;0,0545;True
kpdwfs_sc1_id8_n300_b465_sets74_k320_fully-correlated.txt;1;FC;300;8;1295,00;0,4424;1295,00;0,0255;True
kpdwfs_sc1_id8_n500_b775_sets83_k320_fully-correlated.txt;1;FC;500;8;2120,00;2,1792;2120,00;0,0604;True
kpdwfs_sc1_id8_n700_b1085_sets94_k320_fully-correlated.txt;1;FC;700;8;2945,00;5,8170;2945,00;0,0912;True
kpdwfs_sc1_id8_n800_b1240_sets87_k288_fully-correlated.txt;1;FC;800;8;3177,00;6,0267;3177,00;0,0690;True
kpdwfs_sc1_id9_n1000_b1550_sets91_k288_fully-correlated.txt;1;FC;1000;9;3676,00;16,0035;3676,00;0,0862;True
kpdwfs_sc1_id9_n300_b465_sets72_k320_fully-correlated.txt;1;FC;300;9;1275,00;0,4358;1275,00;0,0159;True
kpdwfs_sc1_id9_n500_b775_sets78_k320_fully-correlated.txt;1;FC;500;9;2071,00;2,1379;2071,00;0,0490;True
kpdwfs_sc1_id9_n700_b1085_sets84_k320_fully-correlated.txt;1;FC;700;9;2837,00;5,2945;2837,00;0,0741;True
kpdwfs_sc1_id9_n800_b1240_sets92_k288_fully-correlated.txt;1;FC;800;9;3225,00;6,1210;3225,00;0,0565;True
kpdwfs_sc1_id10_n1000_b1550_sets93_k288_not-correlated.txt;1;NC;1000;10;4454,00;17,6423;4454,00;0,0787;True
kpdwfs_sc1_id10_n300_b465_sets78_k320_not-correlated.txt;1;NC;300;10;1621,00;0,4084;1621,00;0,0200;True
kpdwfs_sc1_id10_n500_b775_sets81_k320_not-correlated.txt;1;NC;500;10;2618,00;1,9904;2618,00;0,0644;True
kpdwfs_sc1_id10_n700_b1085_sets89_k320_not-correlated.txt;1;NC;700;10;3368,00;5,6729;3368,00;0,0784;True
kpdwfs_sc1_id10_n800_b1240_sets84_k288_not-correlated.txt;1;NC;800;10;3578,00;5,9447;3578,00;0,0931;True
kpdwfs_sc1_id1_n1000_b1550_sets89_k288_not-correlated.txt;1;NC;1000;1;4121,00;14,9176;4121,00;0,1010;True
kpdwfs_sc1_id1_n300_b465_sets76_k320_not-correlated.txt;1;NC;300;1;1569,00;0,4049;1569,00;0,0164;True
kpdwfs_sc1_id1_n500_b775_sets83_k320_not-correlated.txt;1;NC;500;1;2473,00;1,9560;2473,00;0,0462;True
kpdwfs_sc1_id1_n700_b1085_sets91_k320_not-correlated.txt;1;NC;700;1;3107,00;5,1469;3107,00;0,0885;True
kpdwfs_sc1_id1_n800_b1240_sets85_k288_not-correlated.txt;1;NC;800;1;3485,00;5,7586;3485,00;0,0895;True
kpdwfs_sc1_id2_n1000_b1550_sets87_k288_not-correlated.txt;1;NC;1000;2;3980,00;16,2775;3980,00;0,1016;True
kpdwfs_sc1_id2_n300_b465_sets74_k320_not-correlated.txt;1;NC;300;2;1550,00;0,3958;1550,00;0,0141;True
kpdwfs_sc1_id2_n500_b775_sets79_k320_not-correlated.txt;1;NC;500;2;2492,00;2,1116;2492,00;0,0405;True
kpdwfs_sc1_id2_n700_b1085_sets80_k320_not-correlated.txt;1;NC;700;2;3135,00;4,8969;3135,00;0,0661;True
kpdwfs_sc1_id2_n800_b1240_sets95_k288_not-correlated.txt;1;NC;800;2;3613,00;6,1373;3613,00;0,0811;True
kpdwfs_sc1_id3_n1000_b1550_sets88_k288_not-correlated.txt;1;NC;1000;3;4082,00;16,7554;4082,00;0,0889;True
kpdwfs_sc1_id3_n300_b465_sets74_k320_not-correlated.txt;1;NC;300;3;1462,00;0,4212;1462,00;0,0140;True
kpdwfs_sc1_id3_n500_b775_sets80_k320_not-correlated.txt;1;NC;500;3;2557,00;2,1990;2557,00;0,0390;True
kpdwfs_sc1_id3_n700_b1085_sets84_k320_not-correlated.txt;1;NC;700;3;3177,00;5,3767;3177,00;0,0892;True
kpdwfs_sc1_id3_n800_b1240_sets96_k288_not-correlated.txt;1;NC;800;3;3672,00;5,4547;3672,00;0,0889;True
kpdwfs_sc1_id4_n1000_b1550_sets97_k288_not-correlated.txt;1;NC;1000;4;4226,00;16,3321;4226,00;0,1107;True
kpdwfs_sc1_id4_n300_b465_sets77_k320_not-correlated.txt;1;NC;300;4;1797,00;0,3809;1797,00;0,0244;True
kpdwfs_sc1_id4_n500_b775_sets84_k320_not-correlated.txt;1;NC;500;4;2338,00;1,9957;2338,00;0,0412;True
kpdwfs_sc1_id4_n700_b1085_sets86_k320_not-correlated.txt;1;NC;700;4;3160,00;4,9967;3160,00;0,0722;True
kpdwfs_sc1_id4_n800_b1240_sets91_k288_not-correlated.txt;1;NC;800;4;3686,00;5,6067;3686,00;0,0946;True
kpdwfs_sc1_id5_n1000_b1550_sets90_k288_not-correlated.txt;1;NC;1000;5;4096,00;16,9750;4096,00;0,0819;True
kpdwfs_sc1_id5_n300_b465_sets78_k320_not-correlated.txt;1;NC;300;5;1529,00;0,4201;1529,00;0,0120;True
kpdwfs_sc1_id5_n500_b775_sets84_k320_not-correlated.txt;1;NC;500;5;2540,00;1,9800;2540,00;0,0240;True
kpdwfs_sc1_id5_n700_b1085_sets86_k320_not-correlated.txt;1;NC;700;5;3285,00;5,9435;3285,00;0,0897;True
kpdwfs_sc1_id5_n800_b1240_sets86_k288_not-correlated.txt;1;NC;800;5;3632,00;5,6457;3632,00;0,0935;True
kpdwfs_sc1_id6_n1000_b1550_sets93_k288_not-correlated.txt;1;NC;1000;6;4413,00;17,3486;4413,00;0,0774;True
kpdwfs_sc1_id6_n300_b465_sets79_k320_not-correlated.txt;1;NC;300;6;1637,00;0,3805;1637,00;0,0230;True
kpdwfs_sc1_id6_n500_b775_sets89_k320_not-correlated.txt;1;NC;500;6;2381,00;1,9473;2381,00;0,0467;True
kpdwfs_sc1_id6_n700_b1085_sets84_k320_not-correlated.txt;1;NC;700;6;3349,00;5,3498;3349,00;0,0720;True
kpdwfs_sc1_id6_n800_b1240_sets88_k288_not-correlated.txt;1;NC;800;6;3494,00;6,2966;3494,00;0,0856;True
kpdwfs_sc1_id7_n1000_b1550_sets87_k288_not-correlated.txt;1;NC;1000;7;3974,00;18,5664;3974,00;0,1035;True
kpdwfs_sc1_id7_n300_b465_sets73_k320_not-correlated.txt;1;NC;300;7;1550,00;0,4261;1550,00;0,0163;True
kpdwfs_sc1_id7_n500_b775_sets75_k320_not-correlated.txt;1;NC;500;7;2547,00;2,0862;2547,00;0,0412;True
kpdwfs_sc1_id7_n700_b1085_sets86_k320_not-correlated.txt;1;NC;700;7;3341,00;4,9518;3341,00;0,0774;True
kpdwfs_sc1_id7_n800_b1240_sets89_k288_not-correlated.txt;1;NC;800;7;3757,00;5,8584;3757,00;0,0655;True
kpdwfs_sc1_id8_n1000_b1550_sets86_k288_not-correlated.txt;1;NC;1000;8;4141,00;16,2029;4141,00;0,1129;True
kpdwfs_sc1_id8_n300_b465_sets77_k320_not-correlated.txt;1;NC;300;8;1588,00;0,4278;1588,00;0,0226;True
kpdwfs_sc1_id8_n500_b775_sets75_k320_not-correlated.txt;1;NC;500;8;2539,00;2,2079;2539,00;0,0571;True
kpdwfs_sc1_id8_n700_b1085_sets84_k320_not-correlated.txt;1;NC;700;8;3450,00;5,2281;3450,00;0,0932;True
kpdwfs_sc1_id8_n800_b1240_sets88_k288_not-correlated.txt;1;NC;800;8;3806,00;7,0282;3806,00;0,0819;True
kpdwfs_sc1_id9_n1000_b1550_sets85_k288_not-correlated.txt;1;NC;1000;9;4112,00;17,9258;4112,00;0,1188;True
kpdwfs_sc1_id9_n300_b465_sets72_k320_not-correlated.txt;1;NC;300;9;1533,00;0,4656;1533,00;0,0213;True
kpdwfs_sc1_id9_n500_b775_sets87_k320_not-correlated.txt;1;NC;500;9;2471,00;2,2260;2471,00;0,0306;True
kpdwfs_sc1_id9_n700_b1085_sets93_k320_not-correlated.txt;1;NC;700;9;3365,00;5,0000;3365,00;0,0697;True
kpdwfs_sc1_id9_n800_b1240_sets93_k288_not-correlated.txt;1;NC;800;9;3527,00;5,7139;3527,00;0,1353;True
kpdwfs_sc2_id10_n1000_b1550_sets36_k288_correlated.txt;2;C;1000;10;1962,00;6,8648;1962,00;0,0326;True
kpdwfs_sc2_id10_n300_b465_sets33_k320_correlated.txt;2;C;300;10;1235,00;0,9097;1235,00;0,0240;True
kpdwfs_sc2_id10_n500_b775_sets38_k320_correlated.txt;2;C;500;10;1645,00;2,7674;1645,00;0,0736;True
kpdwfs_sc2_id10_n700_b1085_sets40_k320_correlated.txt;2;C;700;10;1989,00;4,7577;1989,00;0,0590;True
kpdwfs_sc2_id10_n800_b1240_sets38_k288_correlated.txt;2;C;800;10;2250,00;3,7275;2250,00;0,0370;True
kpdwfs_sc2_id1_n1000_b1550_sets40_k288_correlated.txt;2;C;1000;1;2279,00;6,3882;2279,00;0,0770;True
kpdwfs_sc2_id1_n300_b465_sets32_k320_correlated.txt;2;C;300;1;1161,00;0,8486;1161,00;0,0191;True
kpdwfs_sc2_id1_n500_b775_sets35_k320_correlated.txt;2;C;500;1;1648,00;2,0911;1648,00;0,0559;True
kpdwfs_sc2_id1_n700_b1085_sets36_k320_correlated.txt;2;C;700;1;1768,00;3,5378;1768,00;0,0390;True
kpdwfs_sc2_id1_n800_b1240_sets38_k288_correlated.txt;2;C;800;1;2049,00;3,1427;2049,00;0,0630;True
kpdwfs_sc2_id2_n1000_b1550_sets42_k288_correlated.txt;2;C;1000;2;2199,00;9,2225;2199,00;0,0414;True
kpdwfs_sc2_id2_n300_b465_sets33_k320_correlated.txt;2;C;300;2;1230,00;0,8998;1230,00;0,0360;True
kpdwfs_sc2_id2_n500_b775_sets40_k320_correlated.txt;2;C;500;2;1739,00;2,1518;1739,00;0,0424;True
kpdwfs_sc2_id2_n700_b1085_sets44_k320_correlated.txt;2;C;700;2;2198,00;4,1192;2198,00;0,0586;True
kpdwfs_sc2_id2_n800_b1240_sets47_k288_correlated.txt;2;C;800;2;2353,00;4,0349;2353,00;0,1080;True
kpdwfs_sc2_id3_n1000_b1550_sets38_k288_correlated.txt;2;C;1000;3;2424,00;6,5279;2424,00;0,1290;True
kpdwfs_sc2_id3_n300_b465_sets37_k320_correlated.txt;2;C;300;3;1220,00;0,8045;1220,00;0,0240;True
kpdwfs_sc2_id3_n500_b775_sets36_k320_correlated.txt;2;C;500;3;1507,00;2,4574;1507,00;0,1112;True
kpdwfs_sc2_id3_n700_b1085_sets36_k320_correlated.txt;2;C;700;3;1939,00;4,0565;1939,00;0,0406;True
