scenario,corr_type,instance_file,n,obj_value,runtime
scenario 4,fully-correlated,scen_4id_10_objs_500_size_775_sets_35_k_33_fully-correlated.txt,500,2131.0,2.05
scenario 4,fully-correlated,scen_4id_10_objs_700_size_1085_sets_34_k_47_fully-correlated.txt,700,3218.0,5.82
scenario 4,fully-correlated,scen_4id_10_objs_800_size_1240_sets_41_k_53_fully-correlated.txt,800,3425.0,8.66
scenario 4,fully-correlated,scen_4id_1_objs_1000_size_1550_sets_37_k_67_fully-correlated.txt,1000,4471.0,21.04
scenario 4,fully-correlated,scen_4id_1_objs_300_size_465_sets_39_k_20_fully-correlated.txt,300,1273.0,0.29
scenario 4,fully-correlated,scen_4id_1_objs_500_size_775_sets_40_k_33_fully-correlated.txt,500,2201.0,1.83
scenario 4,fully-correlated,scen_4id_1_objs_700_size_1085_sets_36_k_47_fully-correlated.txt,700,3114.0,6.55
scenario 4,fully-correlated,scen_4id_1_objs_800_size_1240_sets_41_k_53_fully-correlated.txt,800,3517.0,9.07
scenario 4,fully-correlated,scen_4id_2_objs_1000_size_1550_sets_35_k_67_fully-correlated.txt,1000,4468.0,23.75
scenario 4,fully-correlated,scen_4id_2_objs_300_size_465_sets_34_k_20_fully-correlated.txt,300,1347.0,0.30
scenario 4,fully-correlated,scen_4id_2_objs_500_size_775_sets_39_k_33_fully-correlated.txt,500,2304.0,2.03
scenario 4,fully-correlated,scen_4id_2_objs_700_size_1085_sets_40_k_47_fully-correlated.txt,700,3109.0,5.39
scenario 4,fully-correlated,scen_4id_2_objs_800_size_1240_sets_31_k_53_fully-correlated.txt,800,3522.0,9.80
scenario 4,fully-correlated,scen_4id_3_objs_1000_size_1550_sets_42_k_67_fully-correlated.txt,1000,4625.0,20.87
scenario 4,fully-correlated,scen_4id_3_objs_300_size_465_sets_34_k_20_fully-correlated.txt,300,1297.0,0.29
scenario 4,fully-correlated,scen_4id_3_objs_500_size_775_sets_39_k_33_fully-correlated.txt,500,2130.0,1.86
scenario 4,fully-correlated,scen_4id_3_objs_700_size_1085_sets_40_k_47_fully-correlated.txt,700,3075.0,5.95
scenario 4,fully-correlated,scen_4id_3_objs_800_size_1240_sets_40_k_53_fully-correlated.txt,800,3498.0,8.84
scenario 4,fully-correlated,scen_4id_4_objs_1000_size_1550_sets_53_k_67_fully-correlated.txt,1000,4237.0,20.65
scenario 4,fully-correlated,scen_4id_4_objs_300_size_465_sets_36_k_20_fully-correlated.txt,300,1278.0,0.32
scenario 4,fully-correlated,scen_4id_4_objs_500_size_775_sets_44_k_33_fully-correlated.txt,500,2142.0,1.77
scenario 4,fully-correlated,scen_4id_4_objs_700_size_1085_sets_33_k_47_fully-correlated.txt,700,3143.0,6.13
scenario 4,fully-correlated,scen_4id_4_objs_800_size_1240_sets_38_k_53_fully-correlated.txt,800,3541.0,9.35
scenario 4,fully-correlated,scen_4id_5_objs_1000_size_1550_sets_42_k_67_fully-correlated.txt,1000,4408.0,22.18
scenario 4,fully-correlated,scen_4id_5_objs_300_size_465_sets_38_k_20_fully-correlated.txt,300,1264.0,0.23
scenario 4,fully-correlated,scen_4id_5_objs_500_size_775_sets_35_k_33_fully-correlated.txt,500,2230.0,1.69
scenario 4,fully-correlated,scen_4id_5_objs_700_size_1085_sets_39_k_47_fully-correlated.txt,700,3076.0,6.01
scenario 4,fully-correlated,scen_4id_5_objs_800_size_1240_sets_33_k_53_fully-correlated.txt,800,3575.0,9.65
scenario 4,fully-correlated,scen_4id_6_objs_1000_size_1550_sets_41_k_67_fully-correlated.txt,1000,4389.0,20.74
scenario 4,fully-correlated,scen_4id_6_objs_300_size_465_sets_34_k_20_fully-correlated.txt,300,1389.0,0.25
scenario 4,fully-correlated,scen_4id_6_objs_500_size_775_sets_34_k_33_fully-correlated.txt,500,2241.0,1.83
scenario 4,fully-correlated,scen_4id_6_objs_700_size_1085_sets_37_k_47_fully-correlated.txt,700,3081.0,6.07
scenario 4,fully-correlated,scen_4id_6_objs_800_size_1240_sets_40_k_53_fully-correlated.txt,800,3485.0,8.68
scenario 4,fully-correlated,scen_4id_7_objs_1000_size_1550_sets_46_k_67_fully-correlated.txt,1000,4428.0,19.65
scenario 4,fully-correlated,scen_4id_7_objs_300_size_465_sets_36_k_20_fully-correlated.txt,300,1351.0,0.31
scenario 4,fully-correlated,scen_4id_7_objs_500_size_775_sets_45_k_33_fully-correlated.txt,500,2090.0,1.36
scenario 4,fully-correlated,scen_4id_7_objs_700_size_1085_sets_44_k_47_fully-correlated.txt,700,3153.0,5.30
scenario 4,fully-correlated,scen_4id_7_objs_800_size_1240_sets_36_k_53_fully-correlated.txt,800,3534.0,9.35
scenario 4,fully-correlated,scen_4id_8_objs_1000_size_1550_sets_40_k_67_fully-correlated.txt,1000,4429.0,22.91
scenario 4,fully-correlated,scen_4id_8_objs_300_size_465_sets_34_k_20_fully-correlated.txt,300,1300.0,0.30
scenario 4,fully-correlated,scen_4id_8_objs_500_size_775_sets_33_k_33_fully-correlated.txt,500,2139.0,1.71
scenario 4,fully-correlated,scen_4id_8_objs_700_size_1085_sets_42_k_47_fully-correlated.txt,700,3059.0,5.22
scenario 4,fully-correlated,scen_4id_8_objs_800_size_1240_sets_38_k_53_fully-correlated.txt,800,3701.0,9.37
scenario 4,fully-correlated,scen_4id_9_objs_1000_size_1550_sets_40_k_67_fully-correlated.txt,1000,4601.0,20.21
scenario 4,fully-correlated,scen_4id_9_objs_300_size_465_sets_31_k_20_fully-correlated.txt,300,1270.0,0.33
scenario 4,fully-correlated,scen_4id_9_objs_500_size_775_sets_33_k_33_fully-correlated.txt,500,2065.0,1.72
scenario 4,fully-correlated,scen_4id_9_objs_700_size_1085_sets_37_k_47_fully-correlated.txt,700,3140.0,5.45
scenario 4,fully-correlated,scen_4id_9_objs_800_size_1240_sets_41_k_53_fully-correlated.txt,800,3494.0,8.64
scenario 4,not-correlated,scen_4id_10_objs_1000_size_1550_sets_40_k_67_not-correlated.txt,1000,5386.0,21.29
scenario 4,not-correlated,scen_4id_10_objs_300_size_465_sets_35_k_20_not-correlated.txt,300,1559.0,0.34
scenario 4,not-correlated,scen_4id_10_objs_500_size_775_sets_37_k_33_not-correlated.txt,500,2875.0,1.65
scenario 4,not-correlated,scen_4id_10_objs_700_size_1085_sets_39_k_47_not-correlated.txt,700,3594.0,5.34
scenario 4,not-correlated,scen_4id_10_objs_800_size_1240_sets_36_k_53_not-correlated.txt,800,4275.0,8.92
scenario 4,not-correlated,scen_4id_1_objs_1000_size_1550_sets_37_k_67_not-correlated.txt,1000,5065.0,22.03
scenario 4,not-correlated,scen_4id_1_objs_300_size_465_sets_35_k_20_not-correlated.txt,300,1615.0,0.25
scenario 4,not-correlated,scen_4id_1_objs_500_size_775_sets_35_k_33_not-correlated.txt,500,2642.0,1.79
scenario 4,not-correlated,scen_4id_1_objs_700_size_1085_sets_46_k_47_not-correlated.txt,700,3532.0,4.29
scenario 4,not-correlated,scen_4id_1_objs_800_size_1240_sets_36_k_53_not-correlated.txt,800,3997.0,9.11
scenario 4,not-correlated,scen_4id_2_objs_1000_size_1550_sets_36_k_67_not-correlated.txt,1000,4874.0,22.42
scenario 4,not-correlated,scen_4id_2_objs_300_size_465_sets_36_k_20_not-correlated.txt,300,1609.0,0.31
scenario 4,not-correlated,scen_4id_2_objs_500_size_775_sets_35_k_33_not-correlated.txt,500,2717.0,1.76
scenario 4,not-correlated,scen_4id_2_objs_700_size_1085_sets_37_k_47_not-correlated.txt,700,3585.0,4.98
scenario 4,not-correlated,scen_4id_2_objs_800_size_1240_sets_41_k_53_not-correlated.txt,800,4152.0,9.15
scenario 4,not-correlated,scen_4id_3_objs_1000_size_1550_sets_34_k_67_not-correlated.txt,1000,5360.0,24.01
scenario 4,not-correlated,scen_4id_3_objs_300_size_465_sets_35_k_20_not-correlated.txt,300,1540.0,0.29
scenario 4,not-correlated,scen_4id_3_objs_500_size_775_sets_33_k_33_not-correlated.txt,500,2651.0,1.81
scenario 4,not-correlated,scen_4id_3_objs_700_size_1085_sets_38_k_47_not-correlated.txt,700,3686.0,4.73
scenario 4,not-correlated,scen_4id_3_objs_800_size_1240_sets_42_k_53_not-correlated.txt,800,4089.0,8.29
scenario 4,not-correlated,scen_4id_4_objs_1000_size_1550_sets_45_k_67_not-correlated.txt,1000,5135.0,19.37
scenario 4,not-correlated,scen_4id_4_objs_300_size_465_sets_35_k_20_not-correlated.txt,300,1802.0,0.31
scenario 4,not-correlated,scen_4id_4_objs_500_size_775_sets_39_k_33_not-correlated.txt,500,2484.0,1.86
scenario 4,not-correlated,scen_4id_4_objs_700_size_1085_sets_35_k_47_not-correlated.txt,700,3407.0,6.18
scenario 4,not-correlated,scen_4id_4_objs_800_size_1240_sets_35_k_53_not-correlated.txt,800,4038.0,9.63
scenario 4,not-correlated,scen_4id_5_objs_1000_size_1550_sets_36_k_67_not-correlated.txt,1000,4755.0,21.83
scenario 4,not-correlated,scen_4id_5_objs_300_size_465_sets_40_k_20_not-correlated.txt,300,1547.0,0.22
scenario 4,not-correlated,scen_4id_5_objs_500_size_775_sets_40_k_33_not-correlated.txt,500,2594.0,1.55
scenario 4,not-correlated,scen_4id_5_objs_700_size_1085_sets_36_k_47_not-correlated.txt,700,3544.0,5.32
scenario 4,not-correlated,scen_4id_5_objs_800_size_1240_sets_41_k_53_not-correlated.txt,800,3933.0,8.76
scenario 4,not-correlated,scen_4id_6_objs_1000_size_1550_sets_40_k_67_not-correlated.txt,1000,5332.0,22.89
scenario 4,not-correlated,scen_4id_6_objs_300_size_465_sets_38_k_20_not-correlated.txt,300,1658.0,0.27
scenario 4,not-correlated,scen_4id_6_objs_500_size_775_sets_38_k_33_not-correlated.txt,500,2560.0,1.52
scenario 4,not-correlated,scen_4id_6_objs_700_size_1085_sets_35_k_47_not-correlated.txt,700,3780.0,5.37
scenario 4,not-correlated,scen_4id_6_objs_800_size_1240_sets_41_k_53_not-correlated.txt,800,4238.0,7.65
scenario 4,not-correlated,scen_4id_7_objs_1000_size_1550_sets_39_k_67_not-correlated.txt,1000,5258.0,19.33
scenario 4,not-correlated,scen_4id_7_objs_300_size_465_sets_33_k_20_not-correlated.txt,300,1581.0,0.36
scenario 4,not-correlated,scen_4id_7_objs_500_size_775_sets_36_k_33_not-correlated.txt,500,2737.0,1.61
scenario 4,not-correlated,scen_4id_7_objs_700_size_1085_sets_38_k_47_not-correlated.txt,700,3618.0,5.11
scenario 4,not-correlated,scen_4id_7_objs_800_size_1240_sets_36_k_53_not-correlated.txt,800,4154.0,9.49
scenario 4,not-correlated,scen_4id_8_objs_1000_size_1550_sets_33_k_67_not-correlated.txt,1000,5374.0,23.44
scenario 4,not-correlated,scen_4id_8_objs_300_size_465_sets_37_k_20_not-correlated.txt,300,1511.0,0.42
scenario 4,not-correlated,scen_4id_8_objs_500_size_775_sets_32_k_33_not-correlated.txt,500,2707.0,2.00
scenario 4,not-correlated,scen_4id_8_objs_700_size_1085_sets_36_k_47_not-correlated.txt,700,3879.0,5.72
scenario 4,not-correlated,scen_4id_8_objs_800_size_1240_sets_41_k_53_not-correlated.txt,800,4366.0,8.97
scenario 4,not-correlated,scen_4id_9_objs_1000_size_1550_sets_40_k_67_not-correlated.txt,1000,5146.0,22.93
scenario 4,not-correlated,scen_4id_9_objs_300_size_465_sets_33_k_20_not-correlated.txt,300,1575.0,0.29
scenario 4,not-correlated,scen_4id_9_objs_500_size_775_sets_42_k_33_not-correlated.txt,500,2567.0,1.45
scenario 4,not-correlated,scen_4id_9_objs_700_size_1085_sets_42_k_47_not-correlated.txt,700,3685.0,4.97
scenario 4,not-correlated,scen_4id_9_objs_800_size_1240_sets_41_k_53_not-correlated.txt,800,4045.0,8.60
